timestamp,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
27/08/23,1647.03,1660.24,1646.32,1658.33,87789.9196,1.69318E+12,145109143.7,163046,45374.4533,75003594.94,0
28/08/23,1658.33,1664.34,1621.75,1653.08,214351.0143,1.69327E+12,352868062.8,274580,103654.5089,170648261.3,0
29/08/23,1653.08,1745.84,1640,1729.42,494371.0823,1.69335E+12,842464924.5,504683,251594.2652,428870082.9,0
30/08/23,1729.41,1730.93,1694.34,1705.23,202841.4402,1.69344E+12,347291135.3,308391,97462.2728,166837724.7,0
31/08/23,1705.23,1729,1630,1645.76,330518.2668,1.69353E+12,554219312.1,396774,158776.9421,266221239,0
01/09/23,1645.77,1654.53,1602.33,1629.12,302406.1686,1.69361E+12,493457144.9,368740,152891.8655,249490726.9,0
02/09/23,1629.13,1645,1628.03,1637.03,102145.9476,1.6937E+12,166937240.9,208209,50845.8558,83098703.77,0
03/09/23,1637.02,1647.5,1625.14,1635.84,116767.2862,1.69379E+12,190979647.4,216339,58997.6072,96501876.14,0
04/09/23,1635.84,1644.82,1616.32,1630.51,168010.9056,1.69387E+12,274049115.4,275381,79390.4406,129501176.2,0
05/09/23,1630.52,1648.02,1609.69,1634.45,204365.4907,1.69396E+12,333010634,299045,92320.4268,150498646.1,0
06/09/23,1634.46,1670,1609.2,1633.15,219541.0193,1.69404E+12,358419121.5,331227,106351.4694,173671492.4,0
07/09/23,1633.15,1660,1623.4,1648.11,228558.2782,1.69413E+12,374542954.2,319517,108679.2155,178109929.8,0
08/09/23,1648.11,1658.93,1616.21,1636.44,221570.0458,1.69422E+12,362938822.8,312966,109915.1953,180061630,0
09/09/23,1636.43,1637.52,1629.74,1635.54,58519.6229,1.6943E+12,95627623.42,156305,26774.7047,43756923.41,0
10/09/23,1635.53,1635.7,1600,1617.42,207957.8428,1.69439E+12,336517904.4,292581,100039.4638,161887441,0
11/09/23,1617.42,1619,1531.01,1551.85,417424.8189,1.69448E+12,657137141.3,470056,202066.273,318051411.7,0
12/09/23,1551.84,1626,1549.67,1592.97,329739.9685,1.69456E+12,525392019.7,444268,163861.7224,260938399,0
13/09/23,1592.97,1619.3,1581.88,1607.62,223409.2889,1.69465E+12,357304191.7,349327,107880.3712,172522864.7,0
14/09/23,1607.61,1644.29,1607.05,1626.47,275301.1505,1.69474E+12,447913522.8,414952,138634.912,225589264.5,0
15/09/23,1626.48,1654.08,1611.42,1641.29,181340.024,1.69482E+12,295616593.1,313776,88087.7606,143641063.6,0
16/09/23,1641.3,1653.17,1631.31,1634.4,99555.4671,1.69491E+12,163144495.7,245713,43821.9381,71819073.49,0
17/09/23,1634.4,1635,1612,1622.48,120227.4117,1.695E+12,195464805.9,264713,53504.6423,86960701.57,0
18/09/23,1622.48,1669.5,1603.88,1636.66,279041.6978,1.69508E+12,458235380.2,453410,138512.8418,227475377.9,0
19/09/23,1636.66,1661.04,1626.32,1643.12,184282.4258,1.69517E+12,302910996.6,350549,87617.8889,144020378.5,0
20/09/23,1643.13,1649.34,1604.51,1622.26,232844.2347,1.69525E+12,379255955,382581,110068.5625,179266382.9,0
21/09/23,1622.27,1625.3,1567.77,1583.94,240627.544,1.69534E+12,384503484.7,368163,113477.5269,181209870.9,0
22/09/23,1583.94,1602.68,1576.58,1593.08,124886.091,1.69543E+12,198987470.1,267398,59931.0382,95501097.43,0
23/09/23,1593.07,1598.24,1587.45,1593.86,64537.1341,1.69551E+12,102806906.1,217950,29897.5066,47624962.93,0
24/09/23,1593.85,1601.12,1570.01,1580.71,137517.8533,1.6956E+12,218549216,307377,69567.5288,110560825.8,0
25/09/23,1580.71,1597.5,1563.01,1588.33,176706.9277,1.69569E+12,279294486.7,405042,86242.6755,136326196.4,0
26/09/23,1588.34,1599.78,1580.05,1594.01,125583.0161,1.69577E+12,199551097.3,317309,60123.6282,95545795.24,0
27/09/23,1594.02,1634.1,1583.5,1598.64,274404.4328,1.69586E+12,440883557,478489,130309.7247,209389151.2,0
28/09/23,1598.63,1668.21,1598.14,1652.99,331409.7015,1.69595E+12,541873730.3,567825,161317.0219,263716289.5,0
29/09/23,1653,1688,1648.37,1667.45,251975.6728,1.69603E+12,420335662.1,494615,119324.5578,199086852.7,0
30/09/23,1667.45,1694.32,1666.19,1670.89,136924.9141,1.69612E+12,229630339.5,342315,74748.0519,125347764.5,0
01/10/23,1670.89,1751,1668,1733.79,225611.5868,1.6962E+12,383793846.2,495195,113996.1659,194000592.1,0
02/10/23,1733.8,1744,1636.79,1662.4,378575.6898,1.69629E+12,643680600.1,773990,181099.2202,308057405.9,0
03/10/23,1662.41,1670.65,1643,1656.88,198287.1164,1.69638E+12,328606758.4,530016,93742.6154,155357300.3,0
04/10/23,1656.88,1657.66,1625,1646.58,222861.7167,1.69646E+12,365919693.1,553269,105410.5768,173086611.2,0
05/10/23,1646.58,1655.47,1606.73,1611.79,237378.7449,1.69655E+12,386770321.8,545845,110822.1459,180526551,0
06/10/23,1611.79,1662,1611.68,1645.03,220507.9286,1.69664E+12,360565723.6,539488,109623.0006,179235720.7,0
07/10/23,1645.03,1647.71,1630.03,1633.57,101241.5732,1.69672E+12,165907550.8,288695,47002.9812,77028514.73,0
08/10/23,1633.56,1641.4,1616.17,1632.84,149424.6635,1.69681E+12,243516204.4,372636,72838.6157,118698298.9,0
09/10/23,1632.85,1636,1546,1580.13,340141.0988,1.6969E+12,540588837.5,646240,167250.9839,265609380,0
10/10/23,1580.13,1594.9,1550.55,1567.63,240659.3287,1.69698E+12,378967575.3,613660,122514.9803,192965581.8,0
11/10/23,1567.62,1578.43,1544.26,1566.87,260253.9671,1.69707E+12,406667649.1,605321,134785.4864,210618804.5,0
12/10/23,1566.86,1568.56,1521,1539.61,237221.4977,1.69716E+12,366335747,510960,110863.925,171195520.9,0
13/10/23,1539.61,1575.36,1537.76,1552.16,192205.8736,1.69724E+12,297929349.2,520123,92439.2041,143291580.6,0
14/10/23,1552.16,1561.72,1544.55,1554.94,100314.6754,1.69733E+12,155648012.9,281561,41626.7567,64617045.03,0
15/10/23,1554.94,1567.62,1547.44,1557.77,120311.2738,1.69741E+12,187266232.1,316951,57789.4724,89957330.73,0
16/10/23,1557.78,1639.43,1555.06,1599.42,418510.8644,1.6975E+12,665124956.3,729569,215767.0856,342929071.4,0
17/10/23,1599.41,1600.53,1551.08,1565.01,234817.0699,1.69759E+12,370032208.2,475213,106364.4626,167596650.5,0
18/10/23,1565.01,1585.42,1555.88,1563.44,177750.2253,1.69767E+12,279357949.5,440577,87939.0343,138219608,0
19/10/23,1563.45,1574.45,1541.61,1566.57,216217.6675,1.69776E+12,336684246,469598,101807.2651,158534910.8,0
